transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX9654415,2021-01-18,12406,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Jonathan Herman,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
TRX1152024,2020-09-05,35930,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.1,Autumn Barry,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX5233983,2022-01-26,45072,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.7,Jennifer Dennis,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX7582922,2023-12-24,99735,Kimia Farma - Apotek,Banda Aceh,Aceh,4.1,Matthew Peterson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX8448216,2020-06-26,81651,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Summer Roth,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX3174666,2021-09-23,17863,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.7,Courtney Shepherd,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.8
TRX5221869,2023-11-11,73710,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4.0,Adam Luna,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.2
TRX8246142,2021-01-01,30842,Kimia Farma - Apotek,Dumai,Riau,4.0,Justin Long,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX5047169,2023-11-04,98581,Kimia Farma - Apotek,Subang,Jawa Barat,4.5,Cassandra Cross,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.9
TRX9173715,2022-04-03,12558,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.4,Thomas Ward,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.3
TRX1911013,2022-12-04,50288,Kimia Farma - Apotek,Ternate,Maluku Utara,4.4,Andrew Dillon,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.7
TRX2991509,2020-09-29,65315,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.0,Daniel Knight,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX2780415,2022-08-13,66525,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.7,Benjamin Mills,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.3
TRX5770338,2023-07-19,88089,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Julie Flores,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.1
TRX3169600,2023-11-09,59559,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4.5,Andrew Peterson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
