transaction_id,date,branch_id,branch_category,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi,Inventory
TRX2210954,2022-09-07,84863,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.7,Marcus Cohen,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.13,0.3,555669.0,166700.69999999998,4.5,19
TRX1296555,2020-07-30,25963,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Padang Sidempuan,Sumatera Utara,4.6,Kyle Robles,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.02,0.3,625926.0,187777.8,3.9,46
TRX4893171,2022-10-20,42273,Apotek,Kimia Farma - Apotek,Ternate,Maluku Utara,4.2,Trevor Fields,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.09,0.3,824915.0,247474.5,3.2,78
TRX9550723,2020-02-08,76515,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.8,Jimmy Wood,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.09,0.3,581217.0,174365.1,4.5,22
TRX6329544,2023-04-07,97234,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.9,Frank James,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.05,0.3,861175.0,258352.5,4.1,95
TRX5984131,2022-12-15,33816,Apotek,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.0,Jennifer Fields,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.07,0.3,843045.0,252913.5,3.4,21
TRX9757809,2023-07-28,35270,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Bima,Nusa Tenggara Barat,5.0,Charles Tucker,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.03,0.3,897056.0,269116.8,4.8,52
TRX2165880,2022-09-06,86667,Apotek,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.6,Mackenzie Hernandez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.05,0.3,606765.0,182029.5,4.9,25
TRX2950069,2023-07-22,55703,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.5,Russell Lopez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.01,0.3,632313.0,189693.9,3.3,11
TRX6927904,2023-06-21,41352,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Langsa,Aceh,4.4,Marcus Bailey,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.03,0.3,897056.0,269116.8,3.9,82
